text,joy,sadness,anger,love,thankfulness,fear,surprise
t  -  minus 10 minutes until interview timeeeee  . ,0.027,0.253,0.013,0.019,0.003,0.831,0.517
it doesn  '  t really make sense that the big east now has 4 teams from way west  . ,0.691,0.055,0.011,0.036,0.003,0.050,0.514
 &  i was praying that you  &  me might end up together  .    . ,0.076,0.845,0.191,0.366,0.950,0.795,0.516
a little attitude problem all good it  '  ll make ishh last  .    .     :    ) ,0.091,0.055,0.580,0.019,0.004,0.989,0.518
i think i miss my boyfriend  .    .     :    ( ,0.480,0.077,0.019,0.978,0.986,0.773,0.518
had a good night   :    '    )     @  teeeelouise,0.075,0.860,0.015,0.016,0.001,0.328,0.519
forgot the world revolved around you,0.091,0.081,0.011,0.017,0.003,0.022,0.517
i love you my god  !   i  '  m so proud of you  of what you  '  ve done for us  :    )   you are truly amazing  !    !    ! ,0.150,0.857,0.807,0.945,0.980,0.981,0.508
 @  themik  _  chaelas im always excited especially when it comes to my adele  . ,0.535,0.013,0.526,0.016,0.001,0.008,0.518
 @  onsmith92   @  sarah  _  marinara miss both of you  .   caaant wait to see you guys,0.147,0.036,0.022,0.029,0.005,0.964,0.515
shoutout to everybody tell me   #  happybday thank y  '  all,0.026,0.024,0.099,0.020,0.002,0.054,0.517
can already tell these people are going to drive me crazy  !    ?   ugh  .     #  annoyed   @  keh0415,0.107,0.018,0.761,0.024,0.016,0.161,0.514
 @  leenadalmartin how is the tennis going  ? ,0.124,0.181,0.008,0.016,0.018,0.017,0.517
field trip  =   no school,0.172,0.385,0.320,0.043,0.001,0.233,0.517
